time,1d,1m,6m,1y,1.5y,2y,2.5y,3y,3.5y,4y,4.5y,5y
1,5.77335535375274,5.77335535375274,6.43819065626254,6.71422347317991,6.65119339561753,6.49907054605191,6.32549079810572,6.15340609865489,5.99254184022127,5.84435888117829,5.7057806690019,5.57229402480119
2,5.76800193289337,5.76800193289337,6.45060734634597,6.75017816512497,6.68417141175465,6.54233841455653,6.38523258649681,6.23014207846502,6.08461898825532,5.94902942240107,5.81984828736046,5.69244305656425
3,5.77577273920269,5.77577273920269,6.44097690571102,6.73536543900018,6.68452063310213,6.5577409116713,6.41088390177795,6.26108574088717,6.11642602208182,5.97817459465571,5.84379627648715,5.70966805456655
4,5.74304881456548,5.74304881456548,6.41033044773116,6.69417781042438,6.62152525805983,6.49043350936576,6.34619761075113,6.20062984209133,6.06012024870099,5.92523957637008,5.79330468796377,5.66076937838241
5,5.74118884162516,5.74118884162516,6.39782100243753,6.63575097483069,6.55017436108237,6.41679939247376,6.27217623420332,6.1261862519361,5.98485715665395,5.84883123494419,5.71566108864931,5.58203484115585
6,5.72140667127465,5.72140667127465,6.45225047473342,6.69511132906253,6.62154987660606,6.49725813065931,6.359610947635,6.21965320836713,6.08346643227626,5.95143705421464,5.82076490876048,5.68791889533277
7,5.73554275680027,5.73554275680027,6.46715511868001,6.69989710670942,6.63769501846457,6.52491889387656,6.39645752360759,6.26363501570955,6.13280908964075,6.0047049210521,5.8768283170376,5.74600515738981
8,5.6792808607062,5.6792808607062,6.44639387976575,6.66094393635796,6.58865731546481,6.46749239524238,6.32997128822103,6.18736395673543,6.0465276217636,5.90888663324032,5.77259559861765,5.63493981397411
9,5.65722570891364,5.65722570891364,6.43676115303424,6.67257591812595,6.60785953682293,6.49041342821992,6.3571749250332,6.22030307888979,6.08626582874215,5.95582282924579,5.82645607378989,5.69491032660588
10,5.65779466987824,5.65779466987824,6.47182684476966,6.72588776386124,6.67054164490973,6.55367638732449,6.41876021783811,6.27992784408955,6.14411613107404,6.01224782855825,5.88180837798049,5.74948699469446
11,5.68651762129576,5.68651762129576,6.49091197114962,6.78164349331677,6.75011837672166,6.64914841255009,6.52576622093611,6.39529306675433,6.26506372420843,6.13624805789739,6.00649345019764,5.87269078828642
12,5.7089615401988,5.7089615401988,6.43382574595077,6.72328915029159,6.70389148636455,6.60502334496846,6.47793171748293,6.34124569103234,6.20393736915152,6.06836184431367,5.93292122982255,5.79498724982064
13,5.73708639909258,5.73708639909258,6.44466601948105,6.73740356296012,6.73291149796605,6.6485152236403,6.53229462241681,6.4025109322211,6.26852596652444,6.13341890649615,5.99633988492253,5.85531924830422
14,5.780795423987,5.780795423987,6.42098415939234,6.72409637184261,6.71371232413002,6.62075582787839,6.4976011312699,6.3629291203975,6.22594621111549,6.08946541907507,5.95237809469487,5.81250022747623
15,5.78742580041069,5.78742580041069,6.41254764749079,6.70573123550192,6.70168605258297,6.61255381881419,6.49050195620449,6.35538837819753,6.21693681476282,6.07837307687014,5.9388751249457,5.79645995061596
16,5.79707774407263,5.79707774407263,6.39220246911385,6.66823723578607,6.65212383740531,6.55662632021602,6.4290349557022,6.28811365826776,6.14382876362711,5.99981340374711,5.85562564079883,5.70947217891224
17,5.80172081694493,5.80172081694493,6.33700381745626,6.60934027548811,6.60185763251688,6.51753776357365,6.40144336864597,6.27134090046474,6.13684237655776,6.00142975968252,5.86462680211503,5.72465072455975
18,5.81104495870034,5.81104495870034,6.40834354295959,6.69721499326349,6.69146978851581,6.60787182778208,6.49467186959644,6.36922968014763,6.24013082833284,6.10986896281202,5.97721060944588,5.83990136978175
